epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,392.693,1.46038,0.85166,0.00282,0.86255,0.85392,0.90926,0.60025,1.41458,0.80319,0.00441,0.00101751,0.00101751,0.00101751
87,396.604,1.37622,0.77841,0.00287,0.87612,0.87893,0.92535,0.61316,1.38801,0.7847,0.00438,0.00101641,0.00101641,0.00101641
88,401.76,1.41298,0.81439,0.0028,0.86396,0.87054,0.91581,0.6209,1.33082,0.78587,0.00422,0.00101531,0.00101531,0.00101531
89,405.652,1.4202,0.79006,0.00277,0.89998,0.78138,0.89939,0.62264,1.32108,0.82008,0.0041,0.00101421,0.00101421,0.00101421
90,409.489,1.49059,0.83456,0.00284,0.85872,0.86512,0.91565,0.629,1.36028,0.75169,0.00422,0.00101311,0.00101311,0.00101311
91,414.214,1.40444,0.79221,0.00273,0.892,0.8457,0.91201,0.62047,1.36463,0.74754,0.00432,0.00101201,0.00101201,0.00101201
92,418.428,1.42735,0.78061,0.00288,0.8714,0.83319,0.89585,0.57335,1.52457,0.85295,0.00479,0.00101091,0.00101091,0.00101091
93,422.365,1.46163,0.80619,0.00276,0.88221,0.84547,0.91664,0.6242,1.37006,0.79063,0.00425,0.00100981,0.00100981,0.00100981
94,427.388,1.37975,0.75977,0.00283,0.87397,0.83773,0.906,0.62144,1.32392,0.76104,0.00412,0.00100871,0.00100871,0.00100871
95,431.591,1.43333,0.79335,0.00276,0.89927,0.80112,0.90845,0.62647,1.34312,0.79053,0.00411,0.00100761,0.00100761,0.00100761
96,435.527,1.43882,0.78554,0.00283,0.88755,0.81778,0.90497,0.60675,1.35769,0.78274,0.00432,0.00100651,0.00100651,0.00100651
97,440.395,1.48324,0.79565,0.00277,0.85593,0.852,0.90675,0.61804,1.34827,0.78509,0.00421,0.00100541,0.00100541,0.00100541
98,444.697,1.44429,0.77629,0.00268,0.84431,0.87278,0.91428,0.6173,1.35449,0.75771,0.00425,0.00100431,0.00100431,0.00100431
99,448.625,1.39827,0.75801,0.00284,0.79737,0.87136,0.90912,0.61798,1.40961,0.7306,0.00445,0.00100321,0.00100321,0.00100321
100,453.325,1.45088,0.78942,0.00283,0.83397,0.83147,0.90289,0.61982,1.31748,0.73555,0.00417,0.00100211,0.00100211,0.00100211
101,457.726,1.39037,0.74006,0.00291,0.87358,0.82008,0.91029,0.61998,1.34117,0.72513,0.00422,0.00100101,0.00100101,0.00100101
102,461.648,1.41537,0.74691,0.00272,0.87306,0.80929,0.90128,0.61062,1.34722,0.79488,0.00423,0.000999911,0.000999911,0.000999911
103,466.165,1.41755,0.73872,0.00265,0.89817,0.86464,0.9148,0.62107,1.35068,0.77884,0.00427,0.000998811,0.000998811,0.000998811
104,470.547,1.36963,0.74434,0.00273,0.89799,0.83368,0.91323,0.59545,1.40081,0.82735,0.0044,0.000997711,0.000997711,0.000997711
105,474.585,1.4232,0.77482,0.00262,0.86497,0.84738,0.90337,0.60156,1.3643,0.86719,0.00437,0.000996611,0.000996611,0.000996611
106,479.272,1.36808,0.74973,0.00273,0.85487,0.86098,0.903,0.59483,1.44254,0.80349,0.0045,0.000995512,0.000995512,0.000995512
107,483.829,1.38963,0.75778,0.00272,0.87114,0.87174,0.91165,0.61411,1.36582,0.79357,0.00426,0.000994412,0.000994412,0.000994412
108,487.73,1.38867,0.72691,0.00282,0.86768,0.80271,0.89551,0.60299,1.36578,0.85028,0.00426,0.000993312,0.000993312,0.000993312
109,492.275,1.37383,0.73024,0.00264,0.87741,0.83979,0.91235,0.61299,1.4079,0.77246,0.00442,0.000992212,0.000992212,0.000992212
110,496.6,1.43874,0.78047,0.00287,0.88897,0.84103,0.91244,0.63039,1.38187,0.73076,0.00439,0.000991112,0.000991112,0.000991112
111,500.39,1.41337,0.76483,0.00272,0.91996,0.85025,0.92254,0.63437,1.34343,0.72385,0.00421,0.000990012,0.000990012,0.000990012
112,504.739,1.46094,0.76993,0.00271,0.92293,0.80072,0.91452,0.63132,1.37303,0.71896,0.00432,0.000988912,0.000988912,0.000988912
113,509.487,1.37667,0.73648,0.00262,0.86429,0.82495,0.89932,0.60108,1.41713,0.75746,0.0045,0.000987812,0.000987812,0.000987812
114,513.529,1.41908,0.7609,0.00272,0.84339,0.85524,0.89727,0.60995,1.38378,0.7459,0.00443,0.000986712,0.000986712,0.000986712
115,517.52,1.39224,0.72674,0.00266,0.86865,0.81315,0.90208,0.60013,1.41453,0.75383,0.00451,0.000985613,0.000985613,0.000985613
116,522.297,1.40837,0.74752,0.00261,0.82663,0.86186,0.90004,0.59401,1.45665,0.78345,0.00468,0.000984513,0.000984513,0.000984513
117,526.039,1.41733,0.76346,0.00259,0.9012,0.7694,0.89493,0.60193,1.43127,0.77027,0.00453,0.000983413,0.000983413,0.000983413
118,529.887,1.35709,0.69484,0.00259,0.89927,0.80271,0.89953,0.61109,1.41412,0.77206,0.00449,0.000982313,0.000982313,0.000982313
119,534.873,1.37547,0.7331,0.00262,0.84484,0.873,0.90086,0.62031,1.3617,0.75683,0.00431,0.000981213,0.000981213,0.000981213
120,538.829,1.34154,0.70577,0.00271,0.92793,0.8158,0.91464,0.62984,1.31179,0.71618,0.00406,0.000980113,0.000980113,0.000980113
121,542.665,1.33213,0.70582,0.00269,0.89618,0.87596,0.93065,0.63572,1.3451,0.67704,0.00429,0.000979013,0.000979013,0.000979013
122,547.719,1.35463,0.71172,0.00265,0.84281,0.87816,0.91328,0.62205,1.37391,0.73616,0.00429,0.000977913,0.000977913,0.000977913
123,551.563,1.42469,0.72761,0.00261,0.85129,0.89164,0.91747,0.63557,1.33693,0.7006,0.00416,0.000976813,0.000976813,0.000976813
124,555.527,1.35435,0.7202,0.00261,0.89318,0.84524,0.91296,0.62313,1.35357,0.69219,0.00421,0.000975714,0.000975714,0.000975714
125,560.566,1.35534,0.71537,0.00258,0.88638,0.86082,0.90969,0.62817,1.32864,0.72539,0.00409,0.000974614,0.000974614,0.000974614
126,564.594,1.32551,0.68133,0.00243,0.88576,0.87196,0.91426,0.62612,1.32076,0.75148,0.00411,0.000973514,0.000973514,0.000973514
127,568.586,1.3484,0.70164,0.0025,0.90785,0.86186,0.90975,0.62667,1.31379,0.7733,0.00411,0.000972414,0.000972414,0.000972414
128,573.844,1.39435,0.72934,0.00258,0.90257,0.84748,0.90833,0.62352,1.36495,0.74704,0.00428,0.000971314,0.000971314,0.000971314
129,577.758,1.37366,0.70116,0.0028,0.88438,0.84287,0.89523,0.60259,1.39341,0.75474,0.00444,0.000970214,0.000970214,0.000970214
130,581.599,1.31977,0.69233,0.00272,0.8666,0.85825,0.89922,0.59923,1.43467,0.76854,0.00461,0.000969114,0.000969114,0.000969114
131,586.682,1.3048,0.66919,0.00248,0.87886,0.86912,0.90593,0.59446,1.43757,0.82463,0.00455,0.000968014,0.000968014,0.000968014
132,590.611,1.33401,0.66353,0.00262,0.87317,0.82456,0.88204,0.56392,1.52329,0.87266,0.00478,0.000966914,0.000966914,0.000966914
133,594.48,1.27927,0.66945,0.00249,0.85433,0.86575,0.9023,0.59395,1.42554,0.82872,0.00456,0.000965815,0.000965815,0.000965815
134,599.884,1.37164,0.69246,0.00256,0.90847,0.8562,0.91575,0.61729,1.4218,0.71493,0.00447,0.000964715,0.000964715,0.000964715
135,603.819,1.31974,0.6646,0.00255,0.87501,0.81113,0.90555,0.60396,1.43797,0.75355,0.00448,0.000963615,0.000963615,0.000963615
136,607.684,1.34104,0.69127,0.00259,0.85268,0.87604,0.90127,0.616,1.39369,0.71042,0.00442,0.000962515,0.000962515,0.000962515
137,612.706,1.25642,0.64997,0.00249,0.86496,0.86068,0.91977,0.62056,1.38972,0.76061,0.00431,0.000961415,0.000961415,0.000961415
138,616.727,1.26964,0.63764,0.00252,0.90333,0.82203,0.91207,0.61337,1.41884,0.72637,0.00445,0.000960315,0.000960315,0.000960315
139,620.571,1.29912,0.66007,0.00255,0.846,0.88342,0.91659,0.62103,1.37541,0.72686,0.00437,0.000959215,0.000959215,0.000959215
140,625.791,1.32074,0.68583,0.0024,0.8316,0.87635,0.91437,0.6125,1.41444,0.74721,0.00446,0.000958115,0.000958115,0.000958115
141,629.769,1.34604,0.685,0.0026,0.84765,0.86277,0.90601,0.62611,1.40346,0.72472,0.00448,0.000957015,0.000957015,0.000957015
